"country","broadbandSpeed","mobileSpeed","pop2020"
"Singapore","191.9300","50.4300","5850.3420"
"South Korea","156.1800","97.4400","51269.1850"
"Taiwan","151.7500","43.6600","23816.7750"
"Hong Kong","151.0200","31.2400","7496.9810"
"Romania","130.7900","36.6800","19237.6910"
"Monaco","125.6900","","39.2420"
"Andorra","115.8800","","77.2650"
"United States","115.6700","34.7600","331002.6510"
"Switzerland","115.3800","54.4200","8654.6220"
"Macau","114.4300","29.2000","649.3350"
"Hungary","114.3900","38.6300","9660.3510"
"Canada","113.8700","60.7200","37742.1540"
"Liechtenstein","111.0300","","38.1280"
"Sweden","109.9900","43.7600","10099.2650"
"France","107.9100","44.5300","65273.5110"
"Luxembourg","107","45.0700","625.9780"
"Spain","106.7600","32.8500","46754.7780"
"Norway","103.1600","60.9000","5421.2410"
"Japan","101.6500","30.4800","126476.4610"
"Netherlands","99.2200","59.5400","17134.8720"
"New Zealand","96.9700","46.2600","4822.2330"
"Denmark","96.5900","42.7500","5792.2020"
"Malta","91.1700","50.1400","441.5430"
"China","89.4300","36.3400","1439323.7760"
"Portugal","87.7800","32.0400","10196.7090"
"Lithuania","86.9300","44.9600","2722.2890"
"United Arab Emirates","83.7400","61.2400","9890.4020"
"Barbados","80.7400","","287.3750"
"Latvia","79.7600","31.8300","1886.1980"
"Thailand","78.4700","20.1800","69799.9780"
"Israel","76.6800","23.5400","8655.5350"
"Poland","76.5600","31.5000","37846.6110"
"Panama","73.3200","12.6800","4314.7670"
"Germany","73.2300","33.3200","83783.9420"
"Chile","72.3400","19.6000","19116.2010"
"Malaysia","71.5200","21.2900","32365.9990"
"Belgium","70","47.0500","11589.6230"
"Ireland","69.6300","24.7500","4937.7860"
"Qatar","65.1200","61.7200","2881.0530"
"Finland","63.7700","41.2600","5540.7200"
"United Kingdom","62.2800","31.3300","67886.0110"
"Slovenia","59.6700","38.6900","2078.9380"
"Slovakia","56.4900","32.2600","5459.6420"
"Estonia","55.2400","42.6200","1326.5350"
"Russia","53.7300","20.4700","145934.4620"
"Italy","51.3200","33.2600","60461.8260"
"San Marino","51.2200","","33.9310"
"Czech Republic","51.0400","45.5500","10708.9810"
"Moldova","50.2700","34.3200","4033.9630"
"Belarus","47.9000","14.1000","9449.3230"
"Trinidad and Tobago","47.7400","15.8700","1399.4880"
"Ukraine","47.6800","20.4900","43733.7620"
"Serbia","45.9800","42.1500","8737.3710"
"Paraguay","44.4500","14.9600","7132.5380"
"Bahrain","43.0500","29.4500","1701.5750"
"Uruguay","42.2800","27.9000","3473.7300"
"Austria","41.8700","44.5100","9006.3980"
"Saudi Arabia","41.8400","42.3400","34813.8710"
"Brazil","40.5000","23.0500","212559.4170"
"Australia","40.3700","63.3400","25499.8840"
"Saint Vincent and the Grenadines","39.4100","","110.9400"
"Vietnam","38.6300","24.6000","97338.5790"
"Jordan","38","15.1300","10203.1340"
"Grenada","36.8600","","112.5230"
"Kazakhstan","36.3100","19.8500","18776.7070"
"Kuwait","34.2300","37.8200","4270.5710"
"Madagascar","32.0700","","27691.0180"
"Mexico","31.3100","24.8400","128932.7530"
"India","30.7400","10.6300","1380004.3850"
"Argentina","30.2100","21.4900","45195.7740"
"Montenegro","29.3600","34.4400","628.0660"
"Albania","29.0400","47.3400","2877.7970"
"Croatia","28.9700","45.3100","4105.2670"
"Peru","28.7100","23.3500","32971.8540"
"Mongolia","28.5200","18.2300","3278.2900"
"Bahamas","28.3200","22.3100","393.2440"
"Cape Verde","27.5300","10.3600","555.9870"
"Macedonia","27.5300","39.5000","2083.3740"
"Dominica","27.3700","","71.9860"
"Seychelles","26.7600","","98.3470"
"Kyrgyzstan","25.4900","16.6500","6524.1950"
"Georgia","25.4500","26.6900","3989.1670"
"Cyprus","25.3400","38.2500","1207.3590"
"Sri Lanka","25.1700","23.7300","21413.2490"
"Bosnia and Herzegovina","25.1400","34.1600","3280.8190"
"Dominican Republic","24.7600","20.7800","10847.9100"
"Armenia","24.0500","30.8400","2963.2430"
"Ghana","23.9800","13.3800","31072.9400"
"Belize","23.6300","22.3100","397.6280"
"Philippines","23.6000","15.7500","109581.0780"
"Saint Kitts and Nevis","23.5800","","53.1990"
"South Africa","23.1700","30.3400","59308.6900"
"Oman","22.9100","38.1200","5106.6260"
"Costa Rica","22.8000","18.4300","5094.1180"
"Greece","22.7100","40.7100","10423.0540"
"Bangladesh","22.1300","10.2300","164689.3830"
"Turkey","22.0700","35.8200","84339.0670"
"Colombia","21.9900","17.1500","50882.8910"
"Jamaica","21.9300","25.6300","2961.1670"
"Gabon","21.8700","","2225.7340"
"Liberia","21.3400","","5057.6810"
"Saint Lucia","21.2100","","183.6270"
"Bhutan","20.9800","","771.6080"
"Brunei","20.9700","20.0900","437.4790"
"Nepal","20.3800","10.7000","29136.8080"
"Togo","20.1400","","8278.7240"
"Guyana","19.4400","","786.5520"
"Laos","19.2700","27.1800","7275.5600"
"Mauritius","19.2400","21.5200","1271.7680"
"Indonesia","19.0900","11.7700","273523.6150"
"Uzbekistan","18.9200","9.7700","33469.2030"
"Iraq","18.8200","6.5900","40222.4930"
"Tajikistan","18.8100","10.6100","9537.6450"
"Senegal","18.6500","21","16743.9270"
"Cambodia","18.5100","12.2300","16718.9650"
"Niger","18.3300","","24206.6440"
"Ecuador","18.1800","20.7400","17643.0540"
"Fiji","17.5100","27.9000","896.4450"
"Azerbaijan","17.2000","29.5800","10139.1770"
"Morocco","17.0700","26.7400","36910.5600"
"Myanmar","16.8400","23.7700","54409.8000"
"Republic of the Congo","16.5600","","5518.0870"
"Maldives","16.1900","22.5400","540.5440"
"Uganda","16.0100","13.1900","45741.0070"
"Kenya","15.0500","15.8800","53771.2960"
"Ivory Coast","14.7800","20.2800","26378.2740"
"Antigua and Barbuda","14.7300","27.2100","97.9290"
"Ethiopia","14.1300","15.8400","114963.5880"
"Zambia","13.8600","14.0100","18383.9550"
"Palestine","13.8200","6.3200","5101.4140"
"Western Sahara","13.6900","","597.3390"
"Namibia","13.3500","13.4300","2540.9050"
"Iran","13.1200","27.6600","83992.9490"
"Tanzania","12.9500","11.7200","59734.2180"
"Angola","12.9300","20.8000","32866.2720"
"Rwanda","12.6200","9.0800","12952.2180"
"Bolivia","12.2300","17.1400","11673.0210"
"Zimbabwe","12.1800","14.7400","14862.9240"
"Honduras","11.8200","22.5800","9904.6070"
"El Salvador","11.2000","10.4600","6486.2050"
"Nigeria","11.1700","15.7900","206139.5890"
"Somalia","11.1400","9.0900","15893.2220"
"Mali","10.9900","33.2100","20250.8330"
"Swaziland","10.9000","","1160.1640"
"Guatemala","10.7000","16.8900","17915.5680"
"Haiti","10.3500","12.7300","11402.5280"
"Suriname","10.1000","27.4400","586.6320"
"Libya","10.0900","10.4100","6871.2920"
"Nicaragua","9.5900","22.2900","6624.5540"
"Burkina Faso","9.4100","8.3400","20903.2730"
"Sierra Leone","9.2800","","7976.9830"
"Tunisia","9.1600","23.9800","11818.6190"
"Egypt","9.1000","17.3700","102334.4040"
"Botswana","9.0700","","2351.6270"
"Pakistan","9.0200","13.5500","220892.3400"
"Djibouti","9","","988"
"Benin","8.9300","","12123.2000"
"Vanuatu","8.8300","","307.1450"
"Gambia","8.6900","","2416.6680"
"Papua New Guinea","8.6400","11.8800","8947.0240"
"Cameroon","8.5600","12.7500","26545.8630"
"Syria","8.4100","20.7700","17500.6580"
"Malawi","8.2200","","19129.9520"
"Burundi","7.7800","","11890.7840"
"Cuba","7.6800","21.3500","11326.6160"
"Afghanistan","7.4900","7.8600","38928.3460"
"DR Congo","7.4100","12.6000","89561.4030"
"Lebanon","7.1100","35.4900","6825.4450"
"Mozambique","6.1700","17.1600","31255.4350"
"Timor-Leste","6.0900","","1318.4450"
"Sudan","6.0900","10.7700","43849.2600"
"Mauritania","5.2700","","4649.6580"
"Algeria","4.1800","7.2300","43851.0440"
"Venezuela","3.6100","6.7900","28435.9400"
"Yemen","3.5400","","29825.9640"
"Turkmenistan","1.7800","","6031.2000"